,시군구,동읍면,total,total_male,total_female,over_18age_total,over_18age_male,over_18age_female,over_65age_total,over_65age_male,over_65age_female
0,강서구,total,142335,73794,68541,112096,58265,53831,20714,9861,10853
1,강서구,대저1동,5814,3218,2596,5511,3071,2440,2362,1192,1170
2,강서구,대저2동,6520,3677,2843,5799,3286,2513,1855,902,953
3,강서구,강동동,5002,2634,2368,4502,2368,2134,1687,799,888
4,강서구,명지1동,54341,27274,27067,40141,20111,20030,4642,2194,2448
5,강서구,명지2동,30005,14981,15024,21913,10816,11097,2817,1323,1494
6,강서구,가락동,2123,1146,977,2061,1114,947,988,474,514
7,강서구,녹산동,34234,18587,15647,28096,15337,12759,4901,2285,2616
8,강서구,가덕도동,4296,2277,2019,4073,2162,1911,1462,692,770
9,남구,total
10,남구,대연1동,15409,7793,7616,14577,7385,7192,3774,1591,2183
11,남구,대연3동,35619,17423,18196,30460,14705,15755,5023,2188,2835
12,남구,대연4동,13904,6744,7160,11967,5770,6197,3433,1451,1982
13,남구,대연5동,16519,7868,8651,14795,6947,7848,3766,1615,2151
14,남구,대연6동,14646,7033,7613,11859,5645,6214,2608,1147,1461
15,남구,용호1동,42452,20274,22178,36008,17039,18969,9330,4075,5255
16,남구,용호2동,19551,9443,10108,16561,7922,8639,4465,2012,2453
17,남구,용호3동,11108,5352,5756,10263,4905,5358,3734,1604,2130
18,남구,용호4동,7676,3663,4013,6936,3290,3646,2246,936,1310
19,남구,용당동,7763,3899,3864,6868,3439,3429,1937,890,1047
20,남구,감만1동,8198,4202,3996,7349,3767,3582,2234,1031,1203
21,남구,감만2동,6438,3159,3279,5958,2906,3052,2311,951,1360
22,남구,우암동,12112,5918,6194,11068,5350,5718,4099,1762,2337
23,남구,문현1동,10792,5286,5506,9652,4671,4981,2872,1212,1660
24,남구,문현2동,8381,4182,4199,7760,3848,3912,2148,915,1233
25,남구,문현3동,16246,7910,8336,14099,6812,7287,3615,1532,2083
26,남구,문현4동,8783,4268,4515,8070,3893,4177,2536,1070,1466